distance,id,runner_key,total_elevation_gain,sport_type,start_date_local,kudos_count,average_speed,created_at,name,moving_time,elapsed_time,type,start_date,timezone,athlete_count
10007.4,13078748793,5,362.0,TrailRun,2024-12-09T12:26:43Z,8,1.83,2025-02-04 14:55:14.618904+00:00,Lunch Trail Run,5468,5701,Run,2024-12-09T11:26:43Z,(GMT+01:00) Europe/Rome,2
18912.9,13063367604,5,867.0,TrailRun,2024-12-07T06:52:42Z,7,2.362,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,8007,8516,Run,2024-12-07T05:52:42Z,(GMT+01:00) Europe/Rome,6
12654.7,13045003259,5,350.0,Run,2024-12-04T12:25:29Z,4,3.209,2025-02-04 14:55:14.618904+00:00,Medio collinare,3943,4045,Run,2024-12-04T11:25:29Z,(GMT+01:00) Europe/Rome,1
10767.0,13038773644,5,163.0,Run,2024-12-03T16:35:23Z,11,2.289,2025-02-04 14:55:14.618904+00:00,Afternoon Run,4703,4776,Run,2024-12-03T15:35:23Z,(GMT+01:00) Europe/Rome,2
1700.0,13030209887,5,0.0,Swim,2024-12-02T13:39:03Z,6,0.706,2025-02-04 14:55:14.618904+00:00,Afternoon Swim,2409,2870,Swim,2024-12-02T12:39:03Z,(GMT+01:00) Africa/Algiers,1
28704.4,13022086136,5,1340.0,TrailRun,2024-12-01T06:32:09Z,11,2.026,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,14168,14634,Run,2024-12-01T05:32:09Z,(GMT+01:00) Europe/Rome,2
14466.9,13013431890,5,767.0,TrailRun,2024-11-30T07:12:22Z,11,2.148,2025-02-04 14:55:14.618904+00:00,Neve e sentieri ❄️,6736,7004,Run,2024-11-30T06:12:22Z,(GMT+01:00) Europe/Rome,2
11906.2,13003776230,5,31.0,Run,2024-11-28T17:41:11Z,11,3.517,2025-02-04 14:55:14.618904+00:00,Seconda settimana in cui inserisco qualità 🤑,3385,3385,Run,2024-11-28T16:41:11Z,(GMT+01:00) Europe/Rome,1
9211.4,12994337819,5,482.0,TrailRun,2024-11-27T12:17:38Z,9,2.183,2025-02-04 14:55:14.618904+00:00,Lunch Trail Run,4219,4323,Run,2024-11-27T11:17:38Z,(GMT+01:00) Europe/Rome,1
0.0,12990805777,5,0.0,Workout,2024-11-26T18:00:00Z,2,0.0,2025-02-04 14:55:14.618904+00:00,Evening Workout,2700,2700,Workout,2024-11-26T17:00:00Z,(GMT+01:00) Europe/Rome,1
8190.3,12977832701,5,162.0,Run,2024-11-25T07:58:50Z,6,2.853,2025-02-04 14:55:14.618904+00:00,Morning Run,2871,2974,Run,2024-11-25T06:58:50Z,(GMT+01:00) Europe/Rome,1
